[2025-05-22 20:18:28] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 10 rows returned
[2025-05-23 13:10:30] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 13:10:31] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:20:13] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 13:20:24] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 13:20:29] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 13:20:53] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori WHERE UtilizatorID LIKE '%1%' OR username LIKE '%1%' OR parola LIKE '%1%' OR isAdmin LIKE '%1%' | Result: Success - 4 rows returned
[2025-05-23 13:20:56] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 13:20:57] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:22:20] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 13:22:26] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 13:22:30] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii WHERE DestinatieID = '1' | Result: Success - 1 rows returned
[2025-05-23 13:22:36] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 13:22:41] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii WHERE DestinatieID LIKE '%1%' OR Nume LIKE '%1%' OR Tara LIKE '%1%' OR Oras LIKE '%1%' OR Descriere LIKE '%1%' | Result: Success - 2 rows returned
[2025-05-23 13:22:48] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii WHERE DestinatieID LIKE '%Costa%' OR Nume LIKE '%Costa%' OR Tara LIKE '%Costa%' OR Oras LIKE '%Costa%' OR Descriere LIKE '%Costa%' | Result: Success - 2 rows returned
[2025-05-23 13:22:57] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii WHERE DestinatieID LIKE '%Malaga%' OR Nume LIKE '%Malaga%' OR Tara LIKE '%Malaga%' OR Oras LIKE '%Malaga%' OR Descriere LIKE '%Malaga%' | Result: Success - 1 rows returned
[2025-05-23 13:23:00] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 13:23:09] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:24:48] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:24:50] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:24:53] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:26:21] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-23 13:26:22] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 10 rows returned
[2025-05-23 13:26:22] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 13:26:23] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 13:26:23] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 13:26:23] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 13:26:24] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-23 14:32:26] User: admin | IP: 10.13.11.33 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-23 14:32:28] User: admin | IP: 10.13.11.33 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-26 14:45:46] User: admin | IP: 10.13.11.33 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-26 14:45:49] User: admin | IP: 10.13.11.33 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-26 14:48:46] User: admin | IP: 10.13.11.33 | Table: Pachete | Command: INSERT INTO Pachete (Nume, DestinatieID, Descriere, Pret, DataInceput, DataSfarsit) VALUES ('vacanta', '1', 'descriere', '2000', '2025-07-22', '2025-07-22') | Result: Success - Insert
[2025-05-26 14:48:46] User: admin | IP: 10.13.11.33 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 11 rows returned
